"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2021","18,900.0","20,900.0","21,100.0","18,900.0","17.01M","-9.57%"
"01/20/2021","19,700.0","19,000.0","19,900.0","17,700.0","14.18M","4.23%"
"01/21/2021","20,300.0","19,800.0","20,500.0","19,600.0","8.36M","3.05%"
"01/22/2021","19,900.0","20,400.0","20,500.0","19,700.0","8.49M","-1.97%"
"01/25/2021","19,700.0","19,900.0","20,200.0","19,500.0","8.04M","-1.01%"
"01/26/2021","18,600.0","19,700.0","19,900.0","18,200.0","11.15M","-5.58%"
"01/27/2021","17,000.0","19,100.0","19,100.0","17,000.0","9.85M","-8.60%"
"01/28/2021","15,300.0","16,000.0","16,900.0","15,300.0","16.72M","-10.00%"
"01/29/2021","16,600.0","13,800.0","16,800.0","13,800.0","10.10M","8.50%"
"02/01/2021","15,600.0","16,600.0","16,700.0","15,300.0","5.61M","-6.02%"
"02/02/2021","16,400.0","15,400.0","16,500.0","15,400.0","11.31M","5.13%"
"02/03/2021","18,000.0","16,600.0","18,000.0","16,500.0","11.74M","9.76%"
"02/04/2021","18,300.0","18,400.0","18,900.0","18,200.0","7.82M","1.67%"
"02/05/2021","18,400.0","18,300.0","19,000.0","18,300.0","6.00M","0.55%"
"02/08/2021","18,200.0","18,400.0","19,300.0","17,700.0","15.19M","-1.09%"
"02/09/2021","18,800.0","18,200.0","18,900.0","18,200.0","7.25M","3.30%"
"02/17/2021","20,600.0","20,000.0","20,600.0","19,100.0","11.25M","9.57%"
"02/18/2021","21,800.0","21,000.0","22,600.0","21,000.0","26.45M","5.83%"
"02/19/2021","21,100.0","21,800.0","22,100.0","20,800.0","14.96M","-3.21%"
"02/22/2021","21,700.0","21,100.0","21,800.0","21,000.0","14.76M","2.84%"
"02/23/2021","22,600.0","22,100.0","23,700.0","22,100.0","15.55M","4.15%"
"02/24/2021","21,800.0","22,600.0","22,600.0","21,500.0","15.20M","-3.54%"
"02/25/2021","22,500.0","22,100.0","22,900.0","22,000.0","13.61M","3.21%"
"02/26/2021","22,500.0","22,500.0","22,600.0","21,800.0","11.91M","0.00%"
"03/01/2021","23,300.0","23,000.0","23,300.0","22,200.0","16.24M","3.56%"
"03/02/2021","22,800.0","23,400.0","23,400.0","22,700.0","16.64M","-2.15%"
"03/03/2021","22,700.0","22,700.0","22,900.0","22,400.0","8.07M","-0.44%"
"03/04/2021","24,600.0","23,000.0","24,900.0","22,100.0","27.04M","8.37%"
"03/05/2021","24,900.0","24,600.0","25,500.0","24,600.0","17.92M","1.22%"
"03/08/2021","25,200.0","24,900.0","26,500.0","24,900.0","14.04M","1.20%"
"03/09/2021","24,000.0","25,000.0","25,000.0","23,800.0","18.72M","-4.76%"
"03/10/2021","23,800.0","24,100.0","24,200.0","23,400.0","15.10M","-0.83%"
"03/11/2021","24,400.0","24,000.0","24,500.0","24,000.0","7.45M","2.52%"
"03/12/2021","24,200.0","24,600.0","25,000.0","24,100.0","8.29M","-0.82%"
"03/15/2021","24,100.0","24,300.0","24,500.0","24,000.0","8.58M","-0.41%"
"03/16/2021","23,700.0","23,900.0","24,100.0","23,500.0","11.35M","-1.66%"
"03/17/2021","24,600.0","24,100.0","24,600.0","23,500.0","13.15M","3.80%"
"03/18/2021","24,200.0","24,600.0","24,800.0","24,100.0","7.55M","-1.63%"
"03/19/2021","23,900.0","23,500.0","24,000.0","22,800.0","17.88M","-1.24%"
"03/22/2021","23,800.0","24,000.0","24,300.0","23,700.0","7.31M","-0.42%"
"03/23/2021","23,400.0","23,800.0","23,800.0","23,200.0","8.14M","-1.68%"
"03/24/2021","22,700.0","23,000.0","23,000.0","21,700.0","19.52M","-2.99%"
"03/25/2021","22,200.0","22,700.0","23,200.0","22,200.0","6.94M","-2.20%"
"03/26/2021","22,700.0","22,200.0","23,000.0","20,600.0","12.04M","2.25%"
"03/29/2021","20,982.0","21,355.0","21,728.0","20,796.0","6.92M","-7.57%"
"03/30/2021","21,262.0","21,169.0","21,635.0","20,889.0","7.64M","1.33%"
"03/31/2021","21,449.0","21,262.0","21,635.0","20,982.0","8.54M","0.88%"
"04/01/2021","22,101.0","21,449.0","22,195.0","21,355.0","11.87M","3.04%"
"04/02/2021","22,008.0","22,288.0","22,661.0","21,915.0","7.87M","-0.42%"
"04/05/2021","21,822.0","22,008.0","22,101.0","21,635.0","7.39M","-0.85%"
"04/06/2021","22,661.0","21,728.0","22,661.0","21,262.0","14.55M","3.84%"
"04/07/2021","22,381.0","22,848.0","22,941.0","22,195.0","13.88M","-1.24%"
"04/08/2021","22,381.0","22,381.0","22,941.0","22,008.0","12.04M","0.00%"
"04/09/2021","22,195.0","22,381.0","22,848.0","22,101.0","13.30M","-0.83%"
"04/12/2021","22,008.0","22,195.0","22,381.0","21,822.0","9.68M","-0.84%"
"04/13/2021","21,542.0","22,288.0","22,381.0","21,449.0","11.33M","-2.12%"
"04/14/2021","22,008.0","21,542.0","22,195.0","21,169.0","8.51M","2.16%"
"04/15/2021","22,008.0","22,288.0","22,848.0","21,915.0","10.52M","0.00%"
"04/16/2021","21,822.0","22,008.0","22,195.0","21,262.0","8.54M","-0.85%"
"04/19/2021","21,728.0","21,822.0","21,822.0","21,262.0","4.61M","-0.43%"
"04/20/2021","21,635.0","21,728.0","22,288.0","21,635.0","8.55M","-0.43%"
"04/22/2021","19,490.0","21,728.0","21,728.0","19,490.0","15.59M","-9.91%"
"04/23/2021","19,770.0","19,490.0","19,957.0","19,024.0","9.09M","1.44%"
"04/26/2021","18,092.0","19,770.0","20,050.0","18,092.0","11.42M","-8.49%"
"04/27/2021","18,092.0","18,278.0","18,651.0","17,718.0","4.92M","0.00%"
"04/28/2021","18,558.0","18,185.0","18,931.0","18,092.0","4.63M","2.58%"
"04/29/2021","18,744.0","18,744.0","19,117.0","18,651.0","3.53M","1.00%"
"05/04/2021","18,371.0","18,651.0","18,744.0","17,812.0","5.57M","-1.99%"
"05/05/2021","20,143.0","18,558.0","20,143.0","18,558.0","11.57M","9.65%"
"05/06/2021","19,677.0","20,516.0","20,516.0","19,677.0","6.94M","-2.31%"
"05/07/2021","19,211.0","19,677.0","19,957.0","19,117.0","6.29M","-2.37%"
"05/10/2021","19,770.0","19,211.0","19,863.0","19,117.0","7.69M","2.91%"
"05/11/2021","20,050.0","19,770.0","20,796.0","19,584.0","9.17M","1.42%"
"05/12/2021","20,703.0","20,050.0","21,169.0","19,863.0","8.19M","3.26%"
"05/13/2021","20,236.0","20,703.0","21,169.0","20,236.0","7.80M","-2.26%"
"05/14/2021","20,050.0","20,143.0","20,236.0","19,770.0","6.52M","-0.92%"
"05/17/2021","19,584.0","20,516.0","20,516.0","19,584.0","6.41M","-2.32%"
"05/18/2021","20,330.0","19,677.0","20,330.0","19,490.0","7.52M","3.81%"
"05/19/2021","19,863.0","20,143.0","20,330.0","19,770.0","3.79M","-2.30%"
"05/20/2021","19,397.0","19,677.0","19,677.0","19,024.0","7.79M","-2.35%"
"05/21/2021","19,677.0","19,211.0","20,236.0","18,744.0","9.51M","1.44%"
"05/24/2021","20,423.0","19,957.0","20,889.0","19,770.0","9.47M","3.79%"
"05/25/2021","21,169.0","20,516.0","21,635.0","20,516.0","15.84M","3.65%"
"05/26/2021","21,076.0","21,169.0","21,169.0","20,796.0","7.73M","-0.44%"
"05/27/2021","20,516.0","20,982.0","21,262.0","20,236.0","10.86M","-2.66%"
"05/28/2021","21,915.0","20,796.0","22,195.0","20,703.0","24.88M","6.82%"
"05/31/2021","24,060.0","22,008.0","24,060.0","21,728.0","25.89M","9.79%"
"06/01/2021","24,619.0","24,060.0","25,459.0","24,060.0","20.84M","2.32%"
"06/02/2021","25,552.0","24,806.0","25,925.0","24,619.0","21.47M","3.79%"
"06/03/2021","25,179.0","25,552.0","26,111.0","24,899.0","22.00M","-1.46%"
"06/04/2021","27,697.0","25,179.0","27,697.0","24,806.0","24.58M","10.00%"
"06/07/2021","27,977.0","27,697.0","29,189.0","27,044.0","24.37M","1.01%"
"06/08/2021","25,179.0","29,375.0","29,375.0","25,179.0","31.26M","-10.00%"
"06/09/2021","26,484.0","25,179.0","26,951.0","25,179.0","20.04M","5.18%"
